               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.034561,            0.010936,           0.0026221,             0.82183,             0.71107,             0.80661,             0.41985,            0.038967,            0.011528,           0.0044275,             0.00637,             0.00637,             0.00637
                  57,            0.034387,            0.010775,           0.0023716,             0.81631,             0.75484,             0.83519,             0.43539,            0.036334,            0.010174,           0.0043898,            0.006304,            0.006304,            0.006304
                  58,            0.035263,            0.010707,           0.0036355,             0.86306,             0.73369,             0.83802,             0.44659,            0.036405,             0.01016,           0.0050551,            0.006238,            0.006238,            0.006238
                  59,            0.034809,            0.010992,           0.0023568,             0.77015,             0.77225,             0.81282,             0.40415,            0.037042,            0.010076,           0.0069678,            0.006172,            0.006172,            0.006172
                  60,             0.03396,            0.010097,           0.0020871,             0.69238,             0.81541,             0.81298,             0.40944,            0.037953,            0.010269,           0.0062992,            0.006106,            0.006106,            0.006106
                  61,            0.033201,            0.010126,           0.0023227,             0.76623,             0.84643,             0.86939,             0.46478,            0.036101,           0.0098954,           0.0049768,             0.00604,             0.00604,             0.00604
                  62,            0.034352,            0.010328,           0.0019926,             0.80556,              0.7759,             0.83307,             0.41587,            0.037698,            0.010134,           0.0055468,            0.005974,            0.005974,            0.005974
                  63,             0.03366,            0.010764,           0.0021115,             0.81539,             0.83154,             0.84532,             0.45115,            0.035151,           0.0093624,           0.0057799,            0.005908,            0.005908,            0.005908
                  64,              0.0322,            0.010239,           0.0019289,             0.86223,             0.78315,             0.82781,             0.43487,            0.037006,            0.010021,           0.0058881,            0.005842,            0.005842,            0.005842
                  65,            0.033754,            0.010348,           0.0021785,             0.82752,             0.81541,             0.82229,             0.42485,            0.038494,           0.0098962,            0.009815,            0.005776,            0.005776,            0.005776
